"File Path","Function","Inputs","Outputs"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","measure","pin_names: Iterable[str];waveform_type: Waveform;frequency: float;amplitude: float;duration: float","return: tuple[()]"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","_wait_until_done","sessions: Sequence[nifgen.Session];cancellation_event: threading.Event;duration: float","return: None"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","main","verbosity: int","return: None"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","measure","pin_names: Iterable[str];specifications_file_path: str;levels_file_path: str;timing_file_path: str;pattern_file_path: str;load_files: bool","return: tuple;passing_sites: nims.DataType.Int32Array1D;failing_sites: nims.DataType.Int32Array1D"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","_resolve_relative_path","directory_path: pathlib.Path;file_path: str | pathlib.Path","return: pathlib.Path"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","main","verbosity: int","return: None"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","measure","measurement_pins: Sequence[str];vertical_range: float;vertical_coupling: str;input_impedance: float;min_sample_rate: float;min_record_length: int;trigger_pin: str;trigger_level: float;trigger_slope: str;auto_trigger: bool;trigger_coupling: str;timeout: float","return: tuple[list[float], ...];waveform0: nims.DataType.DoubleArray1D;waveform1: nims.DataType.DoubleArray1D;waveform2: nims.DataType.DoubleArray1D;waveform3: nims.DataType.DoubleArray1D"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","_wait_until_done","session: niscope.Session;cancellation_event: threading.Event;timeout: float","return: None"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","main","verbosity: int","return: None"
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","measure","float_input: float;double_array_input: Iterable[float];bool_input: bool;string_input: str;enum_input: Color;protobuf_enum_input: color_pb2.ProtobufColor.ValueType;string_array_in: Iterable[str]","return: tuple[float, Iterable[float], bool, str, Color, color_pb2.ProtobufColor.ValueType, Iterable[str], array_pb2.Double2DArray, array_pb2.Double2DArray, array_pb2.String2DArray, array_pb2.String2DArray];Float out: nims.DataType.Float;Double Array out: nims.DataType.DoubleArray1D;Bool out: nims.DataType.Boolean;String out: nims.DataType.String;Enum out: nims.DataType.Enum;Protobuf Enum out: nims.DataType.Enum;String Array out: nims.DataType.StringArray1D;Double 2D Array Out: nims.DataType.Double2DArray;Converted Double 2D Array: nims.DataType.Double2DArray;String 2D Array Out: nims.DataType.String2DArray;Converted String 2D Array: nims.DataType.String2DArray"
