File Path,Function,Input Parameters,Output Parameters,Description 1,Description 2,Description 3,Description 4,Description 5
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","measure","pin_names: Iterable[str];waveform_type: Waveform;frequency: float;amplitude: float;duration: float","return: tuple[()]","Configures and executes a standard function generation on specified `pin_names` using a defined `waveform_type`. The signal characteristics include a `frequency` (Hz), `amplitude` (Vpp), and a `duration` (s) for the test stimulus. Returns an empty tuple upon completion of the signal generation sequence.","This function orchestrates a signal generation task. It applies a `Waveform` of a specific `waveform_type` to the `pin_names` under test. Key parameters like `frequency`, `amplitude`, and `duration` define the stimulus profile for device characterization.","Initiates a waveform output sequence for T&M applications. Takes `pin_names` for channel selection, `waveform_type` to specify the signal shape (e.g., Sine, Square), `frequency` of oscillation, peak-to-peak `amplitude`, and total signal `duration`.","Performs a signal stimulus operation by outputting a standard waveform. The user specifies target `pin_names`, the `waveform_type`, its `frequency` and `amplitude`, and how long the `duration` of the signal should be. The function confirms execution by returning a tuple.","Drives specified `pin_names` with a standard test signal. Parameters include `waveform_type` (e.g., Ramp), `frequency` (in Hertz), `amplitude` (in Volts), and `duration` (in seconds). Primarily used for validating device input stages."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","_wait_until_done","sessions: Sequence[nifgen.Session];cancellation_event: threading.Event;duration: float","return: None","Monitors active NIFGEN `sessions` for completion or until a `cancellation_event` is triggered. This utility function ensures synchronization within a test sequence, waiting for a specified `duration` before timing out.","Manages the execution flow by pausing until all provided `nifgen.Session` instances in `sessions` have finished their generation tasks. It respects a `cancellation_event` for early termination and has a timeout based on `duration`.","A synchronization primitive for NI-FGEN operations. It blocks execution for a given `duration` or until the `sessions` complete their waveform generation, whichever comes first, or if a `cancellation_event` is set.","This function holds the program execution, effectively polling the status of NI-FGEN `sessions`. It waits for the signal generation to conclude or for a `cancellation_event` signal, bounded by a `duration` to prevent indefinite blocking.","Waits for NI-FGEN `sessions` to complete. The function checks for a `cancellation_event` and operates within a `duration` timeout. Ensures that the waveform generation is done before proceeding with subsequent test steps."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","main","verbosity: int","return: None","Main entry point for the NIFGEN standard function generation example script, configuring the logging level based on the `verbosity` input.","Executes the primary logic of the NIFGEN waveform generation demonstration. The `verbosity` parameter controls the amount of diagnostic output.","Orchestrates the NIFGEN example, setting up and running a standard function generation. `verbosity` level (integer) adjusts the detail of run-time information logged.","Serves as the top-level function for demonstrating NI-FGEN capabilities. The `verbosity` argument determines the log output verbosity for debugging and monitoring.","Initiates and runs the NIFGEN standard function measurement example. The `verbosity` input dictates the level of detail for console output during execution."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","measure","pin_names: Iterable[str];specifications_file_path: str;levels_file_path: str;timing_file_path: str;pattern_file_path: str;load_files: bool","return: tuple;passing_sites: nims.DataType.Int32Array1D;failing_sites: nims.DataType.Int32Array1D","Executes a digital pattern test using NI-Digital Pattern Instrument, specifically for SPI communication, on the specified `pin_names`. It loads instrument settings from `specifications_file_path`, `levels_file_path`, and `timing_file_path`, and the test vectors from `pattern_file_path` if `load_files` is true. Returns a tuple indicating `passing_sites` and `failing_sites`.","This function performs an SPI protocol test on selected `pin_names`. It utilizes configuration files for specifications (`specifications_file_path`), voltage levels (`levels_file_path`), timing sets (`timing_file_path`), and the digital pattern itself (`pattern_file_path`), conditionally loaded via `load_files`. Test results are reported as `passing_sites` and `failing_sites`.","Conducts a digital test sequence targeting `pin_names` for SPI interface validation. The function relies on external files for test parameters: `specifications_file_path` for device specs, `levels_file_path` for voltage thresholds, `timing_file_path` for bus cycle timing, and `pattern_file_path` for the stimulus/response data (if `load_files` is active). Outputs include arrays of `passing_sites` and `failing_sites`.","Initiates a digital pattern burst for SPI communication testing across the given `pin_names`. Test behavior is defined by `specifications_file_path`, `levels_file_path`, `timing_file_path`, and `pattern_file_path`. The `load_files` flag controls the dynamic loading of these configurations. The function returns data on `passing_sites` and `failing_sites`.","Measures digital site pass/fail status for an SPI test. It configures the digital pattern instrument using `pin_names`, `specifications_file_path`, `levels_file_path`, `timing_file_path`, and `pattern_file_path` (when `load_files` is set). The primary outputs are `passing_sites` and `failing_sites`, critical for production test."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","_resolve_relative_path","directory_path: pathlib.Path;file_path: str | pathlib.Path","return: pathlib.Path","Utility function to resolve a potentially relative `file_path` against a base `directory_path`. Ensures robust file referencing in test configurations, returning an absolute `pathlib.Path`.","Converts a given `file_path` (which can be a string or a Path object) into an absolute path, using `directory_path` as the reference if the `file_path` is relative. Essential for locating test asset files reliably.","Takes a base `directory_path` and a `file_path` and returns a fully resolved `pathlib.Path`. This is crucial for accessing configuration and pattern files in test and measurement setups where relative paths are common.","Resolves the absolute location of a file. If `file_path` is relative, it's joined with `directory_path` to form an absolute path. If `file_path` is already absolute, it's returned as is. Output is a `pathlib.Path` object.","A helper function for path management in test automation. It combines a `directory_path` with a `file_path` (string or Path) to produce an unambiguous, absolute `pathlib.Path`, preventing file access errors."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","main","verbosity: int","return: None","Main entry point for the NI-Digital SPI measurement example. Sets the logging `verbosity` level for diagnostic output during the digital test execution.","Orchestrates the NI-Digital SPI test demonstration. The `verbosity` parameter controls the detail level of runtime information and error messages.","Executes the primary logic of the NI-Digital SPI pattern test example. The integer `verbosity` argument configures the amount of logging information displayed.","Serves as the top-level function to run the SPI communication test using NI-Digital instruments. `verbosity` input adjusts console output detail.","Initiates and manages the NI-Digital SPI test sequence. The `verbosity` level is used to control the output logging detail for the measurement process."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","measure","measurement_pins: Sequence[str];vertical_range: float;vertical_coupling: str;input_impedance: float;min_sample_rate: float;min_record_length: int;trigger_pin: str;trigger_level: float;trigger_slope: str;auto_trigger: bool;trigger_coupling: str;timeout: float","return: tuple[list[float], ...];waveform0: nims.DataType.DoubleArray1D;waveform1: nims.DataType.DoubleArray1D;waveform2: nims.DataType.DoubleArray1D;waveform3: nims.DataType.DoubleArray1D","Acquires waveforms using an NI-SCOPE instrument from specified `measurement_pins`. Configures acquisition parameters like `vertical_range` (V), `vertical_coupling` (AC/DC), `input_impedance` (Ohms), `min_sample_rate` (S/s), and `min_record_length`. Triggering is defined by `trigger_pin`, `trigger_level` (V), `trigger_slope`, `auto_trigger` capability, and `trigger_coupling`. Returns multiple waveform arrays (`waveform0` through `waveform3`) after a `timeout` period.","This function captures analog signals from `measurement_pins` via an oscilloscope. It sets the scope's `vertical_range`, `vertical_coupling` (e.g., 'AC', 'DC', 'GND'), and `input_impedance`. Acquisition settings include `min_sample_rate` and `min_record_length`. Triggering is managed by `trigger_pin`, `trigger_level`, `trigger_slope`, `auto_trigger`, and `trigger_coupling`, with an overall `timeout`. Outputs are the digitized `waveform0` to `waveform3`.","Performs a multi-channel waveform acquisition. The `measurement_pins` define the input channels. Vertical system parameters are `vertical_range`, `vertical_coupling`, and `input_impedance`. Horizontal system settings include `min_sample_rate` and `min_record_length`. Trigger system configuration involves `trigger_pin`, `trigger_level`, `trigger_slope`, `auto_trigger`, and `trigger_coupling`. The operation is bounded by a `timeout` and returns captured `waveform0`-`waveform3`.","Initiates data acquisition on an NI-SCOPE for the given `measurement_pins`. The function configures channel characteristics (`vertical_range`, `vertical_coupling`, `input_impedance`), sampling parameters (`min_sample_rate`, `min_record_length`), and trigger conditions (`trigger_pin`, `trigger_level`, `trigger_slope`, `auto_trigger`, `trigger_coupling`). Waveforms (`waveform0`...`waveform3`) are returned upon successful acquisition or `timeout`.","Captures time-domain voltage signals from `measurement_pins`. User-defined settings include `vertical_range`, `vertical_coupling`, `input_impedance`, `min_sample_rate`, `min_record_length`, `trigger_pin`, `trigger_level`, `trigger_slope`, `auto_trigger`, `trigger_coupling`, and a `timeout`. The function provides raw waveform data as `waveform0` to `waveform3` for further signal processing or analysis."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","_wait_until_done","session: niscope.Session;cancellation_event: threading.Event;timeout: float","return: None","Monitors an active NI-SCOPE `session` for acquisition completion or until a `cancellation_event` is signaled. This utility ensures the measurement sequence waits appropriately, respecting the specified `timeout`.","Manages the execution flow by pausing until the provided `niscope.Session` has finished its data acquisition task. It also listens for a `cancellation_event` for early termination and operates within a `timeout` limit.","A synchronization helper for NI-SCOPE operations. It blocks execution for up to `timeout` seconds or until the acquisition `session` completes or a `cancellation_event` is set, ensuring data is ready.","This function holds program execution, effectively waiting for the NI-SCOPE `session` to complete its waveform capture. It checks for a `cancellation_event` and is bounded by a `timeout` to prevent indefinite waits in the test sequence.","Waits for an NI-SCOPE `session` to finish acquiring data. The function uses a `cancellation_event` for interruptibility and a `timeout` to define the maximum wait period. Critical for synchronizing multi-instrument test steps."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","main","verbosity: int","return: None","Main entry point for the NI-SCOPE waveform acquisition example. The `verbosity` level controls the amount of diagnostic information logged during execution.","Orchestrates the NI-SCOPE data acquisition demonstration. `verbosity` parameter influences the detail of runtime messages and error reporting for the scope operation.","Executes the primary logic for acquiring and displaying waveforms using NI-SCOPE. The integer `verbosity` argument adjusts the logging output detail.","Top-level function to run the NI-SCOPE waveform capture example. The `verbosity` input dictates the console output detail for monitoring the acquisition process.","Initiates and manages the NI-SCOPE measurement sequence demonstration. `verbosity` is used to set the desired level of logging for the test."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","measure","float_input: float;double_array_input: Iterable[float];bool_input: bool;string_input: str;enum_input: Color;protobuf_enum_input: color_pb2.ProtobufColor.ValueType;string_array_in: Iterable[str]","return: tuple[float, Iterable[float], bool, str, Color, color_pb2.ProtobufColor.ValueType, Iterable[str], array_pb2.Double2DArray, array_pb2.Double2DArray, array_pb2.String2DArray, array_pb2.String2DArray];Float out: nims.DataType.Float;Double Array out: nims.DataType.DoubleArray1D;Bool out: nims.DataType.Boolean;String out: nims.DataType.String;Enum out: nims.DataType.Enum;Protobuf Enum out: nims.DataType.Enum;String Array out: nims.DataType.StringArray1D;Double 2D Array Out: nims.DataType.Double2DArray;Converted Double 2D Array: nims.DataType.Double2DArray;String 2D Array Out: nims.DataType.String2DArray;Converted String 2D Array: nims.DataType.String2DArray","A sample measurement function demonstrating various data type handling. It takes a `float_input`, `double_array_input`, `bool_input`, `string_input`, an `enum_input` of type `Color`, a `protobuf_enum_input`, and a `string_array_in`. It returns these inputs along with generated 2D arrays (`Double 2D Array Out`, `Converted Double 2D Array`, `String 2D Array Out`, `Converted String 2D Array`) for data marshalling and type system validation.","This function serves as a comprehensive data type test case. It processes `float_input`, `double_array_input`, `bool_input`, `string_input`, `enum_input` (`Color`), `protobuf_enum_input`, and `string_array_in`. The outputs include direct pass-through of inputs and several structured array types like `Double 2D Array Out` and `String 2D Array Out`, primarily for interface testing.","Executes a sample measurement that accepts a mix of data types: a scalar `float_input`, an iterable `double_array_input`, a `bool_input`, a `string_input`, a custom `Color` `enum_input`, a `protobuf_enum_input`, and `string_array_in`. The function returns a tuple containing the original inputs and newly created 2D array outputs such as `Double 2D Array Out` and `Converted String 2D Array` for system integration checks.","Performs a data type integrity check by receiving `float_input`, `double_array_input`, `bool_input`, `string_input`, `enum_input`, `protobuf_enum_input`, and `string_array_in`. It echoes back these values along with generated matrix data (`Double 2D Array Out`, `String 2D Array Out`) to verify data handling capabilities.","This T&M utility function processes a diverse set of inputs including `float_input`, `double_array_input`, `bool_input`, `string_input`, `enum_input` (e.g., `Color.RED`), `protobuf_enum_input`, and `string_array_in`. It outputs these along with test-generated `Double 2D Array Out`, `Converted Double 2D Array`, `String 2D Array Out`, and `Converted String 2D Array` to assess data exchange mechanisms."
