File Path,Function,Input Parameters,Output Parameters,Description 1 (Revised),Description 2 (Revised),Description 3 (Revised),Description 4 (Revised),Description 5 (Revised)
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","measure","pin_names: Iterable[str];waveform_type: Waveform;frequency: float;amplitude: float;duration: float","return: tuple[()]","Configures and executes a standard function generation on specified output channels. The signal is defined by its waveform type, frequency, amplitude, and duration for stimulus applications. Confirms completion of the signal generation.","Orchestrates a signal generation task by applying a specific waveform to designated test points. Key signal characteristics define the stimulus profile for device characterization.","Initiates a waveform output sequence for T&M. Selects output channels and specifies signal shape, oscillation rate, peak-to-peak voltage, and total signal active time.","Performs a signal stimulus operation by outputting a standard waveform. User defines target channels and signal properties like shape, rate, strength, and active period.","Drives specified test channels with a standard test signal. Signal parameters such as type, rate, voltage, and active time are configured for validating device input stages."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","_wait_until_done","sessions: Sequence[nifgen.Session];cancellation_event: threading.Event;duration: float","return: None","Monitors active signal generator sessions for completion or until an external cancellation is triggered. Ensures synchronization within a test sequence, respecting a timeout.","Manages execution flow by pausing until all provided instrument sessions have finished their tasks. Supports early termination via an event and includes a timeout.","A synchronization primitive for signal generation operations. Blocks execution for a given period or until sessions complete waveform generation, or if cancellation is requested.","Holds program execution, polling the status of active generation sessions. Waits for signal generation to conclude or for a cancellation signal, bounded by a timeout to prevent indefinite blocking.","Waits for signal generator sessions to complete their assigned tasks. Checks for cancellation requests and operates within a timeout. Ensures waveform generation is finished before subsequent test steps."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nifgen_standard_function/measurement.py","main","verbosity: int","return: None","Main entry point for a standard function generation example. Configures the level of detail for run-time logging.","Executes the primary logic of a waveform generation demonstration. A verbosity setting controls the amount of diagnostic output.","Orchestrates a signal generation example, setting up and running the generation. An integer input adjusts the detail of run-time information logged.","Serves as the top-level function for demonstrating signal generation capabilities. An argument determines the log output detail for debugging and monitoring.","Initiates and runs a standard function generation example. An input dictates the level of detail for console output during execution."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","measure","pin_names: Iterable[str];specifications_file_path: str;levels_file_path: str;timing_file_path: str;pattern_file_path: str;load_files: bool","return: tuple;passing_sites: nims.DataType.Int32Array1D;failing_sites: nims.DataType.Int32Array1D","Executes a digital pattern test for SPI communication on specified channels. Loads instrument settings and test vectors from designated files if indicated. Returns results indicating passing and failing sites.","Performs an SPI protocol test on selected digital channels. Utilizes configuration files for specifications, voltage levels, timing sets, and the digital pattern itself, which can be loaded dynamically. Test results report site pass/fail status.","Conducts a digital test sequence targeting specified pins for SPI interface validation. Relies on external files for test parameters like device specs, voltage thresholds, bus timing, and stimulus/response data. Outputs include arrays of passing and failing test sites.","Initiates a digital pattern burst for SPI communication testing across given instrument channels. Test behavior is defined by various configuration files for specifications, levels, timing, and patterns. A flag controls dynamic loading. Returns data on site pass/fail outcomes.","Measures digital site pass/fail status for an SPI test. Configures the digital pattern instrument using channel assignments and multiple configuration files for instrument behavior and pattern data. The primary outputs are arrays of sites that passed or failed."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","_resolve_relative_path","directory_path: pathlib.Path;file_path: str | pathlib.Path","return: pathlib.Path","Utility to resolve a potentially relative file location against a base directory. Ensures robust file referencing for test configurations, returning an absolute path.","Converts a given file identifier into an absolute path, using a provided directory as the reference if the file identifier is relative. Essential for locating test asset files reliably.","Takes a base directory and a file identifier, returning a fully resolved path object. Crucial for accessing configuration and pattern files in T&M setups where relative paths are common.","Resolves the absolute location of a file. If the file identifier is relative, it's combined with the base directory. If already absolute, it's returned as is. Output is a path object.","A helper for path management in test automation. Combines a directory path with a file identifier to produce an unambiguous, absolute path, preventing file access errors."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/nidigital_spi/measurement.py","main","verbosity: int","return: None","Main entry point for a digital SPI measurement example. Sets the logging detail for diagnostic output during the digital test execution.","Orchestrates a digital SPI test demonstration. A verbosity parameter controls the detail level of runtime information and error messages.","Executes the primary logic of a digital SPI pattern test example. An integer argument configures the amount of logging information displayed.","Serves as the top-level function to run an SPI communication test using digital instruments. A verbosity input adjusts console output detail.","Initiates and manages a digital SPI test sequence. The logging detail for the measurement process is controlled by a verbosity setting."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","measure","measurement_pins: Sequence[str];vertical_range: float;vertical_coupling: str;input_impedance: float;min_sample_rate: float;min_record_length: int;trigger_pin: str;trigger_level: float;trigger_slope: str;auto_trigger: bool;trigger_coupling: str;timeout: float","return: tuple[list[float], ...];waveform0: nims.DataType.DoubleArray1D;waveform1: nims.DataType.DoubleArray1D;waveform2: nims.DataType.DoubleArray1D;waveform3: nims.DataType.DoubleArray1D","Acquires waveforms using an oscilloscope from specified input channels. Configures acquisition settings like vertical sensitivity, coupling, impedance, sampling rate, and record size. Triggering is defined by source, level, slope, and mode. Returns multiple captured waveform arrays after a timeout.","Captures analog signals from designated measurement channels via an oscilloscope. Sets the scope's vertical scaling, input coupling, and termination impedance. Acquisition settings include sampling speed and data points per record. Triggering is managed by its source, threshold, edge, and coupling, with an overall timeout. Outputs are digitized waveform arrays.","Performs multi-channel waveform acquisition. The input channels are specified. Vertical system parameters define sensitivity, coupling, and impedance. Horizontal system settings cover sampling rate and record points. Trigger system configuration includes source, level, slope, auto-mode, and coupling. The operation is bounded by a timeout and returns captured waveform data.","Initiates data acquisition on an oscilloscope for the given input channels. Configures channel characteristics (sensitivity, coupling, impedance), sampling parameters (rate, length), and trigger conditions (source, level, slope, auto-mode, coupling). Waveform arrays are returned upon successful acquisition or timeout.","Captures time-domain voltage signals from specified channels. User-defined settings include vertical sensitivity, input coupling, termination impedance, minimum sampling rate, record length, trigger source, trigger threshold, trigger edge, auto-trigger mode, trigger input coupling, and an operation timeout. Provides raw waveform data arrays."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","_wait_until_done","session: niscope.Session;cancellation_event: threading.Event;timeout: float","return: None","Monitors an active oscilloscope session for acquisition completion or until a cancellation event is signaled. Ensures the measurement sequence waits appropriately, respecting a timeout.","Manages execution flow by pausing until the provided oscilloscope session has finished its data acquisition. Listens for a cancellation for early termination and operates within a timeout.","A synchronization helper for oscilloscope operations. Blocks execution for a specified duration or until the acquisition session completes or a cancellation event is set, ensuring data is ready.","Holds program execution, waiting for the oscilloscope session to complete its waveform capture. Checks for a cancellation event and is bounded by a timeout to prevent indefinite waits.","Waits for an oscilloscope session to finish acquiring data. Uses a cancellation event for interruptibility and a timeout to define the maximum wait period. Critical for synchronizing multi-instrument tests."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/niscope_acquire_waveform/measurement.py","main","verbosity: int","return: None","Main entry point for an oscilloscope waveform acquisition example. A verbosity level controls diagnostic logging during execution.","Orchestrates an oscilloscope data acquisition demonstration. A verbosity parameter influences the detail of runtime messages and error reporting for the scope operation.","Executes the primary logic for acquiring and displaying waveforms using an oscilloscope. An integer verbosity argument adjusts logging output detail.","Top-level function to run an oscilloscope waveform capture example. A verbosity input dictates console output detail for monitoring the acquisition process.","Initiates and manages an oscilloscope measurement sequence demonstration. Verbosity is used to set the desired logging level for the test."
"/home/sujain/Desktop/dev/matchthecolumn/src/python_examples/sample_measurement/measurement.py","measure","float_input: float;double_array_input: Iterable[float];bool_input: bool;string_input: str;enum_input: Color;protobuf_enum_input: color_pb2.ProtobufColor.ValueType;string_array_in: Iterable[str]","return: tuple[float, Iterable[float], bool, str, Color, color_pb2.ProtobufColor.ValueType, Iterable[str], array_pb2.Double2DArray, array_pb2.Double2DArray, array_pb2.String2DArray, array_pb2.String2DArray];Float out: nims.DataType.Float;Double Array out: nims.DataType.DoubleArray1D;Bool out: nims.DataType.Boolean;String out: nims.DataType.String;Enum out: nims.DataType.Enum;Protobuf Enum out: nims.DataType.Enum;String Array out: nims.DataType.StringArray1D;Double 2D Array Out: nims.DataType.Double2DArray;Converted Double 2D Array: nims.DataType.Double2DArray;String 2D Array Out: nims.DataType.String2DArray;Converted String 2D Array: nims.DataType.String2DArray","A sample function demonstrating handling of various data types including numerics, collections, booleans, strings, and enumerations. It returns these inputs along with generated multi-dimensional arrays for data marshalling and type system validation.","Serves as a comprehensive data type test case. Processes diverse inputs like floating-point numbers, arrays of doubles, boolean flags, text strings, standard enums, and protobuf enums. Outputs include direct pass-through of inputs and several structured array types for interface testing.","Executes a sample process accepting a mix of data types: scalars, iterables, logical flags, text, custom enumerations, and protocol buffer enumerations. The function returns a tuple containing original inputs and newly created 2D array outputs for system integration checks.","Performs a data type integrity check by receiving various input forms such as numbers, arrays, logical values, text, and enumerated types. It echoes back these values along with generated matrix data to verify data handling capabilities.","This T&M utility processes a diverse set of inputs including scalar numerics, numeric arrays, boolean states, textual data, and different enumeration types. It outputs these along with test-generated 2D numeric and string arrays to assess data exchange mechanisms."
